x_m,r_m
1.60123959,0.15148833
1.61065865,0.15146383
1.62007770,0.15143994
1.62949676,0.15141666
1.63891582,0.15139400
1.64833487,0.15137195
1.65775393,0.15135050
1.66717299,0.15132967
1.67659204,0.15130946
1.68601110,0.15128985
1.69543015,0.15127086
1.70484921,0.15125249
1.71426827,0.15123472
1.72368732,0.15121757
1.73310638,0.15120104
1.74252544,0.15118511
1.75194449,0.15119118
1.76136355,0.15120684
1.77078261,0.15122312
1.78020166,0.15124002
1.78962072,0.15125753
1.79903978,0.15127565
1.80845883,0.15129438
1.81787789,0.15131373
1.82729694,0.15133369
1.83671600,0.15135427
1.84613506,0.15137545
1.85555411,0.15139725
1.86497317,0.15141966
1.87439223,0.15144268
1.88381128,0.17104136
1.89323034,0.17632795
1.90264940,0.17624924
1.91206845,0.17617089
1.92148751,0.17609291
1.93090656,0.17601529
1.94032562,0.17593804
1.94974468,0.17586117
1.95916373,0.17578466
1.96858279,0.17570852
1.97800185,0.17563275
1.98742090,0.17555735
1.99683996,0.17548232
2.00625902,0.17551949
2.01567807,0.17560151
2.02509713,0.17568389
2.03451619,0.17576664
2.04393524,0.17584975
2.05335430,0.17593322
2.06277335,0.17601705
2.07219241,0.17610125
2.08161147,0.17618581
2.09103052,0.17627073
2.10044958,0.17589705
2.10986864,0.17242005
2.11928769,0.16914604
2.12870675,0.16732922
2.13812581,0.16731391
2.14754486,0.16729861
2.15696392,0.16728331
2.16638298,0.16726803
2.17580203,0.16725274
2.18522109,0.16723747
2.19464014,0.16722220
2.20405920,0.16720694
2.21347826,0.16719168
2.22289731,0.16717644
2.23231637,0.16716120
2.24173543,0.16714596
2.25115448,0.16713073
2.26057354,0.16711551
2.26999260,0.16710030
2.27941165,0.16708509
2.28883071,0.16706989
2.29824977,0.16705470
2.30766882,0.16703951
2.31708788,0.16702433
2.32650693,0.16700916
2.33592599,0.16699399
2.34534505,0.16697883
2.35476410,0.16696368
2.36418316,0.16694853
2.37360222,0.16693339
2.38302127,0.16691826
2.39244033,0.16690314
2.40185939,0.16688802
2.41127844,0.16687291
2.42069750,0.16685780
2.43011655,0.16684270
2.43953561,0.16682761
2.44895467,0.16681253
2.45837372,0.16679745
2.46779278,0.16678238
2.47721184,0.16676731
2.48663089,0.16675226
2.49604995,0.16673721
2.50546901,0.16672216
2.51488806,0.16670713
2.52430712,0.16669210
2.53372618,0.16667707
2.54314523,0.16666206
2.55256429,0.16664705
2.56198334,0.16663205
2.57140240,0.16661705
2.58082146,0.16660206
2.59024051,0.16658708
2.59965957,0.16657211
2.60907863,0.16655714
2.61849768,0.16654218
2.62791674,0.16652722
2.63733580,0.16651227
2.64675485,0.16649733
2.65617391,0.16648240
2.66559297,0.16646747
2.67501202,0.16645255
2.68443108,0.16644639
2.69385013,0.16644663
2.70326919,0.16644689
2.71268825,0.16644715
2.72210730,0.16644741
2.73152636,0.16644769
2.74094542,0.16644797
2.75036447,0.16644825
2.75978353,0.16644855
2.76920259,0.16644885
2.77862164,0.16644915
2.78804070,0.16644947
2.79745976,0.16644979
2.80687881,0.16645012
2.81629787,0.16645045
2.82571692,0.16645080
2.83513598,0.16645115
2.84455504,0.16645150
2.85397409,0.16645186
2.86339315,0.16645223
2.87281221,0.16645261
2.88223126,0.16645299
2.89165032,0.16645338
2.90106938,0.16645378
2.91048843,0.16645419
2.91990749,0.16645460
2.92932654,0.16645502
2.93874560,0.16645544
2.94816466,0.16645587
2.95758371,0.16645631
2.96700277,0.16645676
2.97642183,0.16645721
2.98584088,0.16645767
2.99525994,0.16645813
3.00467900,0.16645861
3.01409805,0.16645909
3.02351711,0.16645957
3.03293617,0.16646007
3.04235522,0.16646057
3.05177428,0.16646108
3.06119333,0.16646159
3.07061239,0.16646211
3.08003145,0.16646264
3.08945050,0.16646317
3.09886956,0.16646372
3.10828862,0.16646427
3.11770767,0.16646482
3.12712673,0.16646538
3.13654579,0.16646595
3.14596484,0.16646653
3.15538390,0.16646711
3.16480296,0.16646770
3.17422201,0.16646830
3.18364107,0.16646890
3.19306012,0.16646951
3.20247918,0.16647013
3.21189824,0.16647076
3.22131729,0.16647139
3.23073635,0.16647203
3.24015541,0.16647267
3.24957446,0.16647332
3.25899352,0.16647398
3.26841258,0.16651333
3.27783163,0.16948002
3.28725069,0.17109970
3.29666975,0.17105339
3.30608880,0.17100719
3.31550786,0.17096112
3.32492691,0.17091518
3.33434597,0.17086936
3.34376503,0.17082366
3.35318408,0.17077810
3.36260314,0.17073265
3.37202220,0.17068733
3.38144125,0.17064214
3.39086031,0.17059708
3.40027937,0.17055214
3.40969842,0.17050732
3.41911748,0.17046263
3.42853653,0.17046469
3.43795559,0.17051130
3.44737465,0.17055803
3.45679370,0.17060489
3.46621276,0.17065188
3.47563182,0.17069899
3.48505087,0.17074622
3.49446993,0.17079358
3.50388899,0.17084106
3.51330804,0.17088866
3.52272710,0.17093640
3.53214616,0.17098425
3.54156521,0.17103223
3.55098427,0.17108033
3.56040332,0.17098337
3.56982238,0.16754364
3.57924144,0.16542014
3.58866049,0.16538658
3.59807955,0.16535309
3.60749861,0.16531967
3.61691766,0.16528632
3.62633672,0.16525303
3.63575578,0.16521981
3.64517483,0.16518666
3.65459389,0.16515358
3.66401295,0.16512056
3.67343200,0.16508762
3.68285106,0.16505474
3.69227011,0.16502193
3.70168917,0.16501744
3.71110823,0.16505165
3.72052728,0.16508592
3.72994634,0.16512025
3.73936540,0.16515466
3.74878445,0.16518913
3.75820351,0.16522367
3.76762257,0.16525828
3.77704162,0.16529295
3.78646068,0.16532769
3.79587973,0.16536250
3.80529879,0.16539738
3.81471785,0.16633105
3.82413690,0.16994829
3.83355596,0.16976477
3.84297502,0.16958327
3.85239407,0.16940378
3.86181313,0.16956710
3.87123219,0.16975608
3.88065124,0.16994705
3.89007030,0.16721799
3.89948936,0.16349619
3.90890841,0.16345685
3.91832747,0.16341761
3.92774652,0.16337846
3.93716558,0.16333941
3.94658464,0.16330045
